subject,region,grade_class,year,grade,degree_type
翻译、新闻与传播、出版,B类,单科=100分,2014,52,专硕
翻译、新闻与传播、出版,B类,单科>100分,2014,78,专硕
翻译、新闻与传播、出版,B类,总分,2015,335,专硕
翻译、新闻与传播、出版,B类,单科=100分,2015,49,专硕
翻译、新闻与传播、出版,B类,单科>100分,2015,74,专硕
翻译、新闻与传播、出版,B类,总分,2016,340,专硕
翻译、新闻与传播、出版,B类,单科=100分,2016,50,专硕
翻译、新闻与传播、出版,B类,单科>100分,2016,75,专硕
翻译、新闻与传播、出版,B类,总分,2017,335,专硕
翻译、新闻与传播、出版,B类,单科=100分,2017,50,专硕
翻译、新闻与传播、出版,B类,单科>100分,2017,75,专硕
翻译、新闻与传播、出版,B类,总分,2018,335,专硕
翻译、新闻与传播、出版,B类,单科=100分,2018,52,专硕
翻译、新闻与传播、出版,B类,单科>100分,2018,78,专硕
翻译、新闻与传播、出版,B类,总分,2019,345,专硕
翻译、新闻与传播、出版,B类,单科=100分,2019,48,专硕
翻译、新闻与传播、出版,B类,单科>100分,2019,72,专硕
文物与博物馆,A类,总分,2011,295,专硕
文物与博物馆,A类,单科=100分,2011,40,专硕
文物与博物馆,A类,单科>100分,2011,120,专硕
文物与博物馆,A类,总分,2012,285,专硕
文物与博物馆,A类,单科=100分,2012,38,专硕
文物与博物馆,A类,单科>100分,2012,114,专硕
文物与博物馆,A类,总分,2013,295,专硕
文物与博物馆,A类,单科=100分,2013,40,专硕
文物与博物馆,A类,单科>100分,2013,120,专硕
文物与博物馆,A类,总分,2014,310,专硕
文物与博物馆,A类,单科=100分,2014,42,专硕
文物与博物馆,A类,单科>100分,2014,126,专硕
文物与博物馆,A类,总分,2015,300,专硕
文物与博物馆,A类,单科=100分,2015,42,专硕
文物与博物馆,A类,单科>100分,2015,126,专硕
文物与博物馆,A类,总分,2016,315,专硕
文物与博物馆,A类,单科=100分,2016,44,专硕
文物与博物馆,A类,单科>100分,2016,132,专硕
文物与博物馆,A类,总分,2017,315,专硕
文物与博物馆,A类,单科=100分,2017,45,专硕
文物与博物馆,A类,单科>100分,2017,135,专硕
文物与博物馆,A类,总分,2018,315,专硕
文物与博物馆,A类,单科=100分,2018,43,专硕
文物与博物馆,A类,单科>100分,2018,129,专硕
文物与博物馆,A类,总分,2019,325,专硕
文物与博物馆,A类,单科=100分,2019,44,专硕
文物与博物馆,A类,单科>100分,2019,132,专硕
文物与博物馆,B类,总分,2011,285,专硕
文物与博物馆,B类,单科=100分,2011,38,专硕
文物与博物馆,B类,单科>100分,2011,114,专硕
文物与博物馆,B类,总分,2012,275,专硕
文物与博物馆,B类,单科=100分,2012,35,专硕
文物与博物馆,B类,单科>100分,2012,105,专硕
文物与博物馆,B类,总分,2013,285,专硕
文物与博物馆,B类,单科=100分,2013,37,专硕
文物与博物馆,B类,单科>100分,2013,111,专硕
文物与博物馆,B类,总分,2014,300,专硕
文物与博物馆,B类,单科=100分,2014,39,专硕
文物与博物馆,B类,单科>100分,2014,117,专硕
文物与博物馆,B类,总分,2015,290,专硕
文物与博物馆,B类,单科=100分,2015,39,专硕
文物与博物馆,B类,单科>100分,2015,117,专硕
文物与博物馆,B类,总分,2016,305,专硕
文物与博物馆,B类,单科=100分,2016,41,专硕
文物与博物馆,B类,单科>100分,2016,123,专硕
文物与博物馆,B类,总分,2017,305,专硕
文物与博物馆,B类,单科=100分,2017,42,专硕
文物与博物馆,B类,单科>100分,2017,126,专硕
文物与博物馆,B类,总分,2018,305,专硕
文物与博物馆,B类,单科=100分,2018,40,专硕
文物与博物馆,B类,单科>100分,2018,120,专硕
文物与博物馆,B类,总分,2019,315,专硕
文物与博物馆,B类,单科=100分,2019,41,专硕
文物与博物馆,B类,单科>100分,2019,123,专硕
建筑学、工程、城市规划,A类,总分,2010,275,专硕
建筑学、工程、城市规划,A类,单科=100分,2010,36,专硕
建筑学、工程、城市规划,A类,单科>100分,2010,54,专硕
建筑学、工程、城市规划,A类,总分,2011,300,专硕
建筑学、工程、城市规划,A类,单科=100分,2011,40,专硕
建筑学、工程、城市规划,A类,单科>100分,2011,60,专硕
建筑学、工程、城市规划,A类,总分,2012,290,专硕
建筑学、工程、城市规划,A类,单科=100分,2012,38,专硕
建筑学、工程、城市规划,A类,单科>100分,2012,57,专硕
建筑学、工程、城市规划,A类,总分,2013,295,专硕
建筑学、工程、城市规划,A类,单科=100分,2013,40,专硕
建筑学、工程、城市规划,A类,单科>100分,2013,60,专硕
建筑学、工程、城市规划,A类,总分,2014,285,专硕
建筑学、工程、城市规划,A类,单科=100分,2014,38,专硕
建筑学、工程、城市规划,A类,单科>100分,2014,57,专硕
建筑学、工程、城市规划,A类,总分,2015,280,专硕
建筑学、工程、城市规划,A类,单科=100分,2015,38,专硕
建筑学、工程、城市规划,A类,单科>100分,2015,57,专硕
建筑学、工程、城市规划,A类,总分,2016,265,专硕
建筑学、工程、城市规划,A类,单科=100分,2016,36,专硕
建筑学、工程、城市规划,A类,单科>100分,2016,54,专硕
建筑学、工程、城市规划,A类,总分,2017,265,专硕
建筑学、工程、城市规划,A类,单科=100分,2017,35,专硕
建筑学、工程、城市规划,A类,单科>100分,2017,53,专硕
建筑学、工程、城市规划,A类,总分,2018,260,专硕
建筑学、工程、城市规划,A类,单科=100分,2018,34,专硕
建筑学、工程、城市规划,A类,单科>100分,2018,51,专硕
建筑学、工程、城市规划,A类,总分,2019,270,专硕
建筑学、工程、城市规划,A类,单科=100分,2019,39,专硕
建筑学、工程、城市规划,A类,单科>100分,2019,59,专硕
建筑学、工程、城市规划,B类,总分,2010,265,专硕
建筑学、工程、城市规划,B类,单科=100分,2010,33,专硕
建筑学、工程、城市规划,B类,单科>100分,2010,50,专硕
建筑学、工程、城市规划,B类,总分,2011,290,专硕
